,Year,Artist,Track,Length,Genre,Date Entered Rankings,Date Peaked,Days to Peak,Total Weeks,Week,Rank
2880,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,10,7.0
2883,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,10,5.0
2884,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,10,4.0
2885,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,105,27,10,8.0
2886,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,10,8.0
2887,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,91,29,10,9.0
2888,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,10,7.0
2889,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,91,27,10,7.0
2890,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,10,5.0
2891,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,10,5.0
2892,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,77,24,10,9.0
2896,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,49,20,10,9.0
2897,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,49,20,10,9.0
2904,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,49,20,10,10.0
3170,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,11,1.0
3171,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,11,1.0
3172,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,11,4.0
3173,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,11,2.0
3174,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,11,1.0
3175,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,11,1.0
3177,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,11,5.0
3178,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,11,2.0
3180,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,11,5.0
3181,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,11,2.0
3184,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,11,9.0
3185,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,11,8.0
3186,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,11,1.0
3190,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,11,4.0
3192,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,11,7.0
3195,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,112,28,11,6.0
3197,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,11,8.0
3200,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,11,5.0
3201,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,11,8.0
3202,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,105,27,11,5.0
3203,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,11,6.0
3204,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,91,29,11,9.0
3205,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,11,8.0
3206,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,91,27,11,7.0
3207,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,11,6.0
3208,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,11,8.0
3209,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,77,24,11,7.0
3212,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,77,23,11,7.0
3214,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,49,20,11,8.0
3487,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,12,1.0
3488,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,12,1.0
3489,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,12,6.0
3490,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,12,2.0
3491,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,12,1.0
3492,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,12,1.0
3494,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,12,4.0
3495,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,12,4.0
3497,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,12,4.0
3498,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,12,3.0
3501,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,12,8.0
3502,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,12,6.0
3503,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,12,2.0
3505,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,105,30,12,10.0
3506,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,91,28,12,8.0
3507,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,12,5.0
3510,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,98,32,12,8.0
3512,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,112,28,12,6.0
3513,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,77,22,12,3.0
3514,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,12,8.0
3517,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,12,4.0
3518,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,12,9.0
3519,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,105,27,12,5.0
3520,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,12,5.0
3521,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,91,29,12,9.0
3523,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,91,27,12,7.0
3524,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,12,7.0
3525,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,12,8.0
3526,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,77,24,12,6.0
3527,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,77,27,12,6.0
3528,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,112,28,12,8.0
3529,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,77,23,12,6.0
3804,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,13,1.0
3805,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,13,1.0
3806,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,13,4.0
3807,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,13,2.0
3808,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,13,1.0
3809,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,13,1.0
3810,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,84,32,13,1.0
3811,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,13,1.0
3812,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,13,5.0
3814,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,13,1.0
3815,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,13,3.0
3818,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,13,6.0
3819,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,13,1.0
3820,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,13,4.0
3822,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,105,30,13,9.0
3823,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,91,28,13,5.0
3827,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,98,32,13,6.0
3829,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,112,28,13,5.0
3830,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,77,22,13,3.0
3831,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,13,6.0
3834,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,13,4.0
3836,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,105,27,13,5.0
3837,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,13,7.0
3838,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,91,29,13,10.0
3839,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,13,7.0
3840,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,91,27,13,6.0
3841,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,13,10.0
3842,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,13,10.0
3843,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,77,24,13,6.0
3844,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,77,27,13,6.0
3845,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,112,28,13,9.0
3846,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,77,23,13,8.0
4121,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,14,1.0
4122,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,14,1.0
4123,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,14,2.0
4124,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,14,2.0
4125,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,14,1.0
4126,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,14,2.0
4127,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,84,32,14,1.0
4128,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,14,1.0
4129,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,14,5.0
4131,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,14,1.0
4132,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,14,4.0
4133,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,175,41,14,9.0
4135,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,14,1.0
4136,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,14,2.0
4139,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,105,30,14,9.0
4140,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,91,28,14,2.0
4142,2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,98,32,14,5.0
4144,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,98,32,14,4.0
4146,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,112,28,14,4.0
4147,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,77,22,14,7.0
4148,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,14,6.0
4151,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,14,6.0
4153,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,105,27,14,6.0
4154,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,14,4.0
4155,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,91,29,14,5.0
4156,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,14,10.0
4157,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,91,27,14,5.0
4160,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,77,24,14,6.0
4161,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,77,27,14,8.0
4162,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,112,28,14,10.0
4163,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,77,23,14,8.0
4171,2000,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,91,24,14,8.0
4438,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,15,1.0
4439,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,15,1.0
4440,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,15,1.0
4441,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,15,4.0
4442,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,15,4.0
4443,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,15,2.0
4444,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,84,32,15,1.0
4445,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,15,1.0
4446,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,15,7.0
4448,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,15,3.0
4450,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,175,41,15,9.0
4452,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,15,2.0
4453,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,15,3.0
4456,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,105,30,15,7.0
4457,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,91,28,15,2.0
4459,2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,98,32,15,2.0
4461,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,98,32,15,3.0
4463,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,112,28,15,4.0
